135/5141,b/SBergamaschi,15
135/5141,147/1241,5
135/5141,77/4620,3
135/5141,200/8759,21
135/5141,184/1441,10
135/5141,n/VivekRNarasayya,86
135/5141,19/1038,3
135/5141,58/3771,10
135/5141,n/HungQNgo,3
135/5141,80/1651-2,12
135/5141,25/7592,3
135/5141,41/9728,10
49/10034,147/1189,38
49/10034,131/4202,42
49/10034,41/3679,88
49/10034,m/StefanManegold,36
49/10034,49/612,24
49/10034,33/6315-1,4
49/10034,v/YannisVelegrakis,52
49/10034,k/SrikanthKandula,38
49/10034,17/5910,8
49/10034,s/KennethSalem,4
49/10034,01/2861,38
49/10034,32/7263,20
49/10034,142/9136,2
49/10034,117/4879-1,4
49/10034,y/JunYang1,13
49/10034,b/PeterABoncz,10
49/10034,m/PaoloMerialdo,13
49/10034,27/104-1,14
49/10034,94/4260,3
49/10034,72/4662,2
49/10034,131/4767,13
49/10034,49/8316,9
49/10034,180/5513,34
49/10034,f/AlanDavidFekete,4
49/10034,j/ChrisJermaine,2
49/10034,b/ABonifati,37
49/10034,79/583,15
49/10034,b/FBonchi,3
49/10034,f/JulianaFreire,41
49/10034,31/3455,23
49/10034,94/2372,14
49/10034,f/MJFranklin,54
49/10034,a/PAtzeni,9
49/10034,a/GustavoAlonso,65
49/10034,49/6363,5
49/10034,c/GrahamCormode,2
49/10034,131/6529-1,4
49/10034,24/8510,115
49/10034,b/SSBhowmick,31
49/10034,o/MTamerOzsu,10
49/10034,c/KSelcukCandan,5
49/10034,y/JXuYu,13
49/10034,55/5031,42
49/10034,o/MouradOuzzani,58
49/10034,c/SurajitChaudhuri,27
49/10034,135/7623,27
49/10034,37/3024,24
49/10034,s/IonStoica,33
49/10034,m/SamuelMadden,165
49/10034,a/AmrElAbbadi,48
49/10034,s/MichaelStonebraker,64
49/10034,218/5225,3
49/10034,40/7459,3
49/10034,25/6583,12
49/10034,14/6896,10
49/10034,a/ArvindArasu,21
49/10034,a/DivyakantAgrawal,39
49/10034,d/AmolDeshpande,19
49/10034,33/3180,9
49/10034,87/10957,20
49/10034,122/5424-2,2
49/10034,43/1219-1,3
49/10034,m/TovaMilo,8
49/10034,60/2319,2
49/10034,t/YannisTheodoridis,9
49/10034,56/2998-1,3
49/10034,48/5154,3
49/10034,z/KarineZeitouni,9
49/10034,v/VVassalos,14
49/10034,07/11533,9
49/10034,189/2405,8
49/10034,66/9726,2
49/10034,97/919-1,96
49/10034,73/343,4
49/10034,74/3608-6,4
49/10034,w/GerhardWeikum,4
49/10034,180/5761,50
49/10034,45/1559,48
49/10034,20/6977-1,3
49/10034,l/GuoliangLi,64
49/10034,89/6502,127
49/10034,76/6735,2
49/10034,183/8663,4
49/10034,02/4973,10
49/10034,m/IoanaManolescu,31
49/10034,08/4537,13
49/10034,d/AlexDelis,10
49/10034,d/AlinDeutsch,17
49/10034,77/5283,7
49/10034,t/FaroukToumani,4
49/10034,69/3405-1,5
49/10034,172/9415,3
49/10034,16/8981,7
49/10034,83/741,5
49/10034,182/0250,76
49/10034,99/6349,25
49/10034,s/DanSuciu,10
49/10034,t/WangChiewTan,38
49/10034,k/BettinaKemme,15
49/10034,67/1328-10,11
49/10034,49/6395,4
49/10034,142/7802,4
49/10034,51/11411,37
49/10034,75/3108,4
49/10034,p/YPapakonstantinou,11
49/10034,g/PTGroth,5
49/10034,w/WeiWang,10
49/10034,154/0932,17
49/10034,w/MelanieWeis,4
49/10034,p/TorbenBachPedersen,6
49/10034,151/8293,47
49/10034,185/1521,36
49/10034,130/8167,35
49/10034,76/3486,9
49/10034,a/DJAbadi,4
49/10034,08/6809-1,5
49/10034,57/7247,12
49/10034,150/7163,104
49/10034,43/6576,17
49/10034,47/3542-1,14
49/10034,131/2926,13
49/10034,d/AnHaiDoan,11
49/10034,67/2933,2
49/10034,09/6353,31
49/10034,36/2133,46
49/10034,c/ALPChen,3
49/10034,64/7497,21
49/10034,45/2495,26
49/10034,27/2143,8
49/10034,c/AndreaCali,5
49/10034,01/3996,20
49/10034,63/9828,6
49/10034,08/7992,120
49/10034,g/AristidesGionis,8
49/10034,a/AnastassiaAilamaki,13
49/10034,46/3522,28
49/10034,04/1835,35
49/10034,c/CarloCurino,183
49/10034,09/404-1,32
49/10034,r/ChristopherRe,101
49/10034,54/1720,3
49/10034,s/DiveshSrivastava,14
49/10034,r/EARundensteiner,18
49/10034,m/EssamMansour,5
49/10034,o/FatmaOzcan,69
49/10034,81/10578,41
49/10034,30/4308-1,59
49/10034,o/BengChinOoi,4
49/10034,m/AMachanavajjhala,15
49/10034,127/6195,5
49/10034,07/1560,2
49/10034,81/9436-1,4
49/10034,g/FlorisGeerts,7
49/10034,02/3658,4
49/10034,92/6981,21
49/10034,i/IhabFIlyas,28
49/10034,c/IFCruz,11
49/10034,06/4171,3
49/10034,p/JMPatel,58
49/10034,w/HaixunWang,8
49/10034,t/LetiziaTanca,39
49/10034,d/XinLunaDong,10
49/10034,b/MagdalenaBalazinska,28
49/10034,s/MohamedASharaf,13
49/10034,47/8816,38
49/10034,82/231,23
49/10034,98/3414-1,3
49/10034,b/SrikantaJBedathur,7
49/10034,p/JianPei,6
49/10034,39/7183,37
49/10034,51/792-2,31
49/10034,j/HVJagadish,17
49/10034,g/JonathanGoldstein,3
49/10034,02/6087,3
49/10034,d/JensPeterDittrich,19
49/10034,39/3530-1,2
49/10034,78/4413,18
49/10034,c/LeiChen0002,7
49/10034,h/OktieHassanzadeh,4
49/10034,75/887,13
49/10034,56/7016,2
49/10034,13/8165,10
49/10034,89/6071,5
49/10034,20/1055,11
49/10034,g/SergioGreco,6
49/10034,m/SergeyMelnik,4
49/10034,a/SihemAmerYahia,39
49/10034,71/5974,2
49/10034,26/6037,85
49/10034,27/3375,52
49/10034,86/9726,46
49/10034,w/StevenEuijongWhang,9
49/10034,p/PaoloPapotti,32
49/10034,32/5357,2
49/10034,l/NinghuiLi,6
49/10034,65/5338,13
49/10034,t/NesimeTatbul,37
49/10034,n/ThomasNeumann,16
49/10034,14/716,3
49/10034,75/5478,2
49/10034,89/6325,9
49/10034,l/UlfLeser,2
49/10034,88/9060,34
49/10034,r/VijayshankarRaman,9
