Vijayanand Nagarajan,Edinburgh
Hoda Naghibijouybari,Binghamton
Ravi Nair,IBM Research
Krishnakumar Nair,Facebook
Satish Narayanasamy,Michigan
Krishnendra Nathella,Arm
Nikos Nikoleris,ARM Research
Tony Nowatzki,UCLA
Lena Olson,Google
Kunle Olukotun,Stanford
Soner Onder,Michigan Tech
Michael Papamichael,Microsoft
Indrani Paul,AMD
Li-Shiuan Peh,NUS
Gennady Pekhimenko,Toronto
Michael Pellauer,NVIDIA
Arthur Perais,Grenoble
Dionisios Pnevmatikatos,FORTHTU Crete
Dmitry Ponomarev,Binghamton
Viktor Prasanna,USC
Ramesh Radhakrishnan,Dell
Priyanka Raina,Stanford
Prakash Ramrakhyani,Arm
Gokul Subramanian Ravi,WisconsinChicago
Brandon Reagen,NYU
Xiaowei Ren,UBC
Minsoo Rhu,KAIST
Tim Rogers,Purdue
Alberto Ros,Murcia
Joshua San Miguel,Wisconsin
Daniel Sanchez,MIT
Karu Sankaralingam,Wisconsin
Nader Sehatbakhsh,UCLA
Resit Sendag,Rhode Island
Vivek Seshadri,Microsoft Research
Emily Shriver,Intel
Cristina Silvano,Politechnico Milano
Matthew Sinclair,WisconsinAMD Research
Shuang Song,Facebook
Daniel Sorin,Duke
Niranjan Soundararajan,Intel
Vilas Sridharan,AMD
Nitish Srivastava,Google
Sreenivas Subramoney,Intel
Bronis Supinski,LLNL
Jakub Szefer,Yale
Mohit Tiwari,UT Austin
Pedro Transcoso,Chalmers
Hung-Wei Tseng,UC Riverside
James Tuck,NC State
Dean Tullsen,UCSD
Georgios Tziantzioulis,Princeton
Guru Vankataramani,GWU
Rujia Wang,Illinois Tech
Jing Wang,CNU
Jiajun Wang,Google
Paul Whatmough,Arm Research
Gu-Yeon Wei,Harvard
Mengjia Yan,MIT
Antonia Zhai,Minnesota
Jianfeng Zhan,ICT
Lixin Zhang,ICT
Sandeep Agrawal,Oracle
Jung Ho Ahn,Seoul National University
Sam Ainsworth,University of Edinburgh
Shoaib Akram,Australian National University
Ismail Akturk,Ozyegin University
Erik Altman,IBM Research
Hari Angepat,UT-Austin
Rachata Ausavarungnirun,King Mongkut's University of Technology North Bangkok
Anys Bacha,University of Michigan
Anirudh Badam,Microsoft
Mario Badr,University of Toronto
Rangeen Basu Roy Chowdhury,Intel Corporation
Scott Beamer,UC Santa Cruz
Robert Bell,Samsung
David Black-Schaffer,Uppsala University
Mahdi Bojnordi,University of Utah
Evgeny Bolotin,NVIDIA
Mauricio Breternitz,ISCTE-IUL Instituto Universitario de Lisboa
Martin Burtscher,Texas State University
Ramon Canal,Universitat Politècnica de Catalunya (UPC)
Niladrish Chatterjee,NVIDIA
Mainak Chaudhuri,IIT Kanpur
Yiran Chen,Duke University
Yu-Hsin Chen,Facebook
Liqun Cheng,Google
Hari Cherupalli,Synopsys
Zeshan Chishti,Intel Corporation
Jason Clemons,NVIDIA
Caroline Collange,"Inria, Univ Rennes, CNRS, IRISA"
