Marko Vukolić,[IBM Research - Zurich]
Marta Pati˜no,"[Universidad Polit´ecnica de Madrid, Spain]"
Martin Maas,[Google]
Matei Zaharia,[Stanford University]
Mathias Lécuyer,[University of British Columbia]
Meng,[The University of Texas at Arlington]
Michael Isard,"[Google Research, Google]"
Michael Kaminsky,[BrdgAI/CMU]
Michael Stumm,[University of Toronto]
Michael Swift,[University of Wisconsin—Madison]
Miguel Castro,"[Microsoft, Microsoft Research Cambridge]"
Ming Wu,[Microsoft Research]
Minlan Yu,[Harvard University]
Mohammad Alizadeh,[MIT]
Mosharaf Chowdhury,[University of Michigan]
Moshe Gabel,[University of Toronto]
Murat Demirbas,[Amazon Web Services]
Muthian Sivathanu,"[Microsoft, India]"
Nadav Amit,[VMware Research]
Natacha Crooks,"[University of California, Berkeley, UC Berkeley]"
Neha Narula,[Massachusetts Institute of Technology]
Nickolai Zeldovich,"[Massachusetts Institute of Technology, MIT]"
Nitin Agrawal,"[Google, ThoughtSpot]"
Noa Zilberman,[Oxford University]
Oana Balmau,[McGill University]
Oriana Riva,[Microsoft Research]
Orran Krieger,[Boston University]
Peter Chen,[Michigan]
Peter Druschel,[Max Planck Institute for Software Systems (MPI-SWS)]
Peter Macko,[MongoDB]
Peter Pietzuch,[Imperial College London]
Petros Maniatis,"[Google Research, Google]"
Philip Gibbons,[Carnegie Mellon University]
Philip Levis,"[Google and Stanford University, Stanford University]"
Phillip Gibbons,[Carnegie Mellon University]
Phillip Stanley-Marbell,[University of Cambridge]
Pramod Bhatotia,[Technische Universität Munich]
Rachit Agarwal,[Cornell University]
Radhika Mittal,[University of Illinois at Urbana–Champaign]
Raluca Ada Popa,[UC Berkeley]
Raluca Popa,"[University of California, Berkeley, UC Berkeley, Berkeley]"
Ramakrishna Kotla,[Amazon Web Services]
Ramnatthan Alagappan,[University of Illinois at Urbana–Champaign]
Ranjita Bhagwan,"[Microsoft Research, Microsoft Research India]"
Rashmi Vinayak,[Carnegie Mellon University]
Ratul Mahajan,[University of Washington and Intentionet]
Ravi Netravali,"[Princeton University, University of California, Los Angeles]"
Rebecca Isaacs,"[Twitter, Amazon Web Services]"
Remzi H. Arpaci-Dusseau,[University of Wisconsin]
Reto Achermann,[University of British Columbia]
Richard Mortier,[University of Cambridge]
Robbert van Renesse,[Cornell University]
Robert Morris,"[Massachusetts Institute of Technology, MIT]"
Robert Soulé,[Yale University]
Rodrigo Bruno,"[INESC-ID and Instituto Superior Técnico, University of Lisbon]"
Rodrigo Rodrigues,"[Instituto Superior Técnico (IST - ULisboa), INESC-ID]"
Roger Wattenhofer,[ETH Zurich]
Rong Chen,[Shanghai Jiao Tong University]
Ronghui Gu,[Columbia University]
Roxana Geambasu,[Columbia University]
Ryan Huang,"[Johns Hopkins University, University of Michigan, John Hopkins University]"
Ryan Stutsman,"[University of Utah, Utah]"
Rüdiger Kapitza,"[Friedrich-Alexander-Universität Erlangen-Nürnberg, Technische Universität Braunschweig]"
Sam H. Noh,"[UNIST (Ulsan National Institute of Science and Technology), Virginia Tech]"
Sam King,"[University of California, Davis]"
Sam Noh,"[UNIST, Korea]"
Samer Al-Kiswany,[Waterloo]
Sandhya Dwarkadas,[University of Rochester]
Sangeetha Abdu Jyothi,"[University of California, Irvine, and VMware Research]"
Sanjeev Kumar,[Uber]
Sarah Meiklejohn,[University College London]
Sasha Federova,[UBC]
Sasha Fedorova,[University of British Columbia]
Sebastian Angel,[University of Pennsylvania]
Shadi Noghabi,[Microsoft Research]
Shan Lu,"[University of Chicago, Microsoft Research and University of Chicago]"
Shivaram Venkataraman,"[University of Wisconsin—Madison, Wisconsin]"
Simon Peter,"[The University of Texas at Austin, University of Washington, UT Austin]"
Sorav Bansal,[Indian Institute of Technology Delhi]
Stefan Savage,"[University of California, San Diego]"
Steve Hand,[Google]
Steve Swanson,"[University of California, San Diego, UC San Diego]"
Steven Hand,[Google]
Sujata Banerjee,"[VMware Research, VMware]"
Swami Sundararaman,[Pyxeda AI]
Taesoo Kim,"[Georgia Institute of Technology, Georgia Tech]"
Theophilus A. Benson,[Brown University]
Thomas Anderson,[University of Washington]
Thomas Moscibroda,[Microsoft]
Thomas Pasquier,[University of British Columbia]
Tianyin Xu,"[University of Illinois at Urbana–Champaign, University of Illinois at Urbana-Champaign, UIUC]"
Tim Brecht,[University of Waterloo]
Tim Harris,"[Microsoft, Amazon]"
Tim Wood,[George Washington University]
Timothy Roscoe,[ETH Zurich]
Tom Anderson,[University of Washington]
Tom Ristenpart,[Cornell]
Vasily Tarasov,[IBM Research - Almaden]
Vijay Chidambaram,"[The University of Texas at Austin and VMware Research, The University of Texas at Austin, Texas]"
Vishal Shrivastav,[Purdue University]
Vyas Sekar,[Carnegie Mellon University]
Wenguang Chen,[Tsinghua University]
Wenjun Hu,"[Yale University, Yale]"
Wenting Zheng,"[University of California, Berkeley, and Carnegie Mellon University]"
Wyatt Lloyd,[Princeton University]
Xi Wang,[University of Washington]
Xiaosong Ma,[Quatar Computing Research Institute]
Y. Charlie Hu,[Purdue University]
Yang Wang,[The Ohio State University]
Yiying Zhang,"[University of California, San Diego, Purdue University, UC San Diego, Purdue]"
Ymir Vigfusson,[Emory University]
Yossi Gilad,"[Hebrew University of Jerusalem, The Hebrew University of Jerusalem]"
Yu Chen,"[Tsinghua, China]"
Yu Hua,[Huazhong University of Science and Technology]
Yuanyuan Zhou,"[University of California, San Diego, University of California San Diego]"
Yubin Xia,[Shanghai Jiao Tong University]
Yufei Ding,"[University of California, Santa Barbara]"
Z. Morley Mao,"[University of Michigan and Google, University of Michigan]"
Zsolt István,[IT University of Copenhagen]
