A. Cristiano I. Malossi,[IBM Corporation*]
Dean Hildebrand,[Google LLC]
Deborah Bard,[National Energy Research Scientific Computing Center (NERSC)]
Dennis Gannon,"[Indiana University, The eScience Cloud]"
Devang Patel,[Microsoft Corporation]
Dewi Yokelson,[University of Oregon]
Dhabaleswar K. (DK) Panda,[Ohio State University]
Dheevatsa Mudigere,"[NVIDIA Corporation, Nvidia]"
"Dhrubajyoti, Goswami",[Concordia University]
Diana Dugas,[nan]
Diana Göhringer,[Technical University Dresden]
Diana Moise,"[Hewlett Packard Enterprise (HPE), Hewlett Packard Enterprise]"
Didem Unat,"[Koç University, Turkey]"
Dieter A. Kranzlmueller,"[Ludwig-Maxmilians-Universität München, Leibniz Supercomputing Centre]"
Dilma Da Silva,[Texas A&M University]
Dingwen Tao,[Indiana University]
Dirk Koch,[University of Manchester]
Dirk Schmidl,[Atos]
Divya Mahajan,[Microsoft Corporation]
Dmitriy Morozov,[Lawrence Berkeley National Laboratory]
Dominic A. Manno,[Los Alamos National Laboratory*]
Dong Li,"[University of California, Merced]"
Donna Calhoun,[Boise State University]
Dorian C. Arnold,[Emory University]
Douglas Thain,[University of Notre Dame]
Dries Kimpe,[University of Chicago]
Edgar Solomonik,[University of Illinois]
Edwin L. Weill,[NVIDIA Corporation]
Elisabeth Larsson,"[Uppsala University, Sweden]"
Eliu Huerta,"[Argonne National Laboratory (ANL), University of Chicago, National Center for Supercomputing Applications (NCSA)*]"
Elliott Slaughter,[SLAC National Accelerator Laboratory]
Elsa J. Gonsiorowski,"[Lawrence Livermore National Laboratory (LLNL), Lawrence Livermore National Laboratory]"
Emmanuel Agullo,[French Institute for Research in Computer Science and Automation (INRIA)]
Emmanuel Jeannot,"[Inria, National Institute for Research in Computer Science and Automation (Inria), France; University of Bordeaux]"
Emmanuel Oseret,[Exascale Computing Research (ECR)]
Emmanuelle Saillard,[French Institute for Research in Computer Science and Automation (INRIA)]
Engin Arslan,"[University of Texas, Arlington]"
Enrico Calore,"[Italian National Institute of Nuclear Physics (INFN); University of Ferrara, Italy]"
Eric Cheng,[US Government]
Eric Nielsen,[NASA Langley Research Center]
Eric Van Hensbergen,[ARM Ltd]
Erich Elsen,[Google Deepmind]
Erik Draeger,"[Lawrence Livermore National Laboratory, Center for Applied Scientific Computing, Lawrence Livermore National Laboratory]"
Erik Lindahl,"[KTH Royal Institute of Technology, Stockholm University]"
Erik Saule,"[University of North Carolina, Charlotte]"
Erin Carson,"[Charles University, Czech Republic]"
Erwin Laure,[Max Planck Computing and Data Facility]
Esam El-Araby,[University of Kansas (KU)]
Esteban Meneses,[Costa Rica National High Technology Center; Costa Rica Institute of Technology]
Evangelos Georganas,[Intel Corporation]
Fabio Checconi,[Intel Corporation]
Fabrizio Petrini,[Intel Corporation]
Fanny Dufossé,[French Institute for Research in Computer Science and Automation (INRIA)]
Felix Wolf,"[Technical University Darmstadt, Technical University of Darmstadt]"
Fengguang Song,"[Indiana University Purdue University Indianapolis (IUPUI), Indiana University-Purdue University Indianapolis (IUPUI), Purdue University]"
Fernanda Foertter,[NextSilicon Inc]
Florina M. Ciorba,"[University of Basel, Switzerland]"
Fouzhan Hosseini,[Intel Corporation]
Franck Cappello,"[Argonne National Laboratory (ANL); University of Illinois, Argonne National Laboratory (ANL), University of Illinois]"
Francois Tessier,[French Institute for Research in Computer Science and Automation (INRIA)]
Frank Jenko,"[Max Planck Institute for Plasma Physics; Technical University Munich, University of Texas]"
Frank Mueller,[North Carolina State University]
Fredrik Manne,[University of Bergen]
Frédéric Vivien,[French Institute for Research in Computer Science and Automation (INRIA)]
Gabriel Antoniu,[French Institute for Research in Computer Science and Automation (INRIA)]
Gabriel Gonzalez,"[University College Cork, Ireland]"
Gabriel Noaje,[NVIDIA]
Ganesh Gopalakrishnan,[University of Utah]
Ge Dong,[Princeton Plasma Physics Laboratory]
Georg Hager,"[Friedrich-Alexander University, Erlangen-Nuremberg; Erlangen National High Performance Computing Center]"
George Almasi,[IBM Corporation]
George Amvrosiadis,[Carnegie Mellon University]
George Biros,"[University of Texas, Oden Institute]"
George Bosilca,[University of Tennessee]
George Michelogiannakis,"[Lawrence Berkeley National Laboratory (LBNL), Stanford University, Lawrence Berkeley National Laboratory (LBNL); Stanford University]"
Georgios Goumas,[National Technical University of Athens]
Georgios Markomanolis,[Advanced Micro Devices (AMD) Inc]
Gilles Muller,[French Institute for Research in Computer Science and Automation (INRIA)*]
Gillian Queisser,[Temple University]
Giri Chukkapalli,[Nvidia Corporation]
Giulia Guidi,[Cornell University; Lawrence Berkeley National Laboratory (LBNL)]
Glenn K. Lockwood,"[Microsoft Corporation, Lawrence Berkeley National Laboratory]"
Goetz Brasche,[Huawei Technologies Ltd]
Gokcen Kestor,"[Pacific Northwest National Laboratory (PNNL); University of California, Merced, Pacific Northwest National Laboratory (PNNL)]"
Greg Eisenhauer,[Georgia Institute of Technology]
Gregory M. Henry,[Intel Corporation]
Gregory Stoner,[Intel Corporation*]
Grey Ballard,[Wake Forest University]
Guangming Tan,"[Institute of Computing Technology, Chinese Academy of Sciences; Chinese Academy of Sciences, Institute of Computing Technology, Chinese Academy of Sciences]"
Gudula Ruenger,[Chemnitz University of Technology]
Guido Juckeland,[Helmholtz-Zentrum Dresden-Rossendorf (HZDR)]
Gunther Weber,"[Lawrence Berkeley National Laboratory (LBNL); University of California, Davis]"
Guojing Cong,[IBM Corporation]
Gustavo Chávez,[Lawrence Berkeley National Laboratory]
Gwendolyn Voskuilen,[Sandia National Laboratories]
